# ell, Delta (nW/m^2/sr) from Zemcov+14
104.29222601798587, 0.3314312647308736
145.27258242158538, 0.33817695335724746
234.81498700115168, 0.344943464262752
352.362277045965, 0.35933724954401014
581.31124289303, 0.3861703247888389
972.2882037127662, 0.44649033275428324
1499.6591831747853, 0.5383681858602484
2162.0964425401075, 0.6769670826118797
3181.129844971089, 0.86015015030777
4808.781919984052, 1.0928343298011538
7367.539226507163, 1.3455672770207903
10477.024712452021, 1.5726680945267304
16158.295108732593, 1.837759857516841
23605.058594844435, 2.059868855821957
36153.12458566495, 2.2608233745412574
56887.99344961183, 2.455435283771537
91963.62615335564, 2.6114793514480796

